id,count
2074,139.89
2079,122.83
2083,26.37
2085,190.7
2087,16.7
2093,145.44
2094,30.2
2097,38.32
2103,93.33
2104,55.14
2107,189.1
2108,21.51
2110,100.89
2115,194.76
2117,32.71
2125,315.19
2127,270.95
2133,13.97
2134,378.12
2135,114.72
2141,259.13
2143,33.62
2145,85.25
2146,29.13
2147,280.81
2148,62.53
2149,71.3
2165,123.84
2166,156.24
2177,210.83
